units,dropout,dropout2,dense_units,dropout3,learning_rate,score
384,0.0,0.1,128,0.4,0.0001,0.6106770833333334
512,0.0,0.2,64,0.0,0.001,0.6085069378217062
128,0.4,0.30000000000000004,32,0.0,0.001,0.6078559160232544
224,0.4,0.1,128,0.2,0.0001,0.606336792310079
480,0.30000000000000004,0.2,320,0.0,0.0001,0.604600707689921
256,0.30000000000000004,0.0,192,0.0,0.01,0.6022569537162781
256,0.2,0.30000000000000004,96,0.30000000000000004,0.01,0.5940972367922465
384,0.0,0.2,224,0.30000000000000004,0.01,0.5913628538449606
480,0.2,0.0,224,0.0,0.01,0.5857204993565878
416,0.4,0.4,384,0.4,0.01,0.5853732625643412
